City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,simplicio mendes,-90.9789248151734,-5.06028376868808,300.96,72,48,3.59,ec,1680372682
558,lucapa,100.96170243747258,-4.717341308431202,300.68,72,100,1.73,id,1680372770
0,madang,147.29414442917516,-4.168534442499862,301.15,74,90,3.74,pg,1680372481
538,kletskaya,77.97970250221215,-4.092258044660468,301.42,74,98,4.35,mv,1680372761
96,lavrentiya,95.63903048689338,-4.017784073402879,300.75,75,87,3.95,id,1680372528
437,lethem,-123.32613883525624,-3.4790834879001693,300.22,80,97,7.88,pf,1680372710
365,walvis bay,158.6927499592661,-3.155565028451946,300.43,73,100,0.74,pg,1680372670
492,magan,-46.00455505618089,-2.761897922648544,294.61,97,100,1.98,br,1680372735
349,tobias barreto,17.15183204072372,-2.5084836451097914,297.77,80,72,0.86,cd,1680372660
523,davila,-35.228542143585514,-2.1871995935316164,300.62,73,46,2.17,br,1680372755
430,santo anastacio,57.099238508161534,-1.9714594956895013,301.65,68,4,1.57,sc,1680372708
366,grand gaube,97.16988304626062,-1.7632923527189774,300.98,75,86,3.51,id,1680372671
352,ancud,-32.22017105900537,-1.699311552162314,300.91,70,81,1.8,br,1680372662
590,rotifunk,25.57479817233846,-0.8430949649468005,295.72,84,64,1.3,cd,1680372782
436,ismailia,-43.3554259661428,-0.4511367722905248,299.51,82,99,4.66,br,1680372710
347,axim,161.00910974171137,-0.3052869432891469,301.27,73,100,4.68,sb,1680372659
100,igdir,-48.12074692981932,0.2222621635045669,300.11,75,81,7.15,br,1680372529
134,louisbourg,40.92347165694096,0.6621153518188976,306.17,41,29,6.81,so,1680372539
340,margate,69.03043131297733,0.9548005784228336,301.54,66,100,2.01,mv,1680372656
140,marcona,40.94152800541394,1.409895728007342,307.54,33,13,2.03,ke,1680372541
75,plettenberg bay,81.64068234713949,1.6527449239464147,301.2,71,7,0.99,lk,1680372521
483,houma,162.71631461798728,1.8711649016578773,301.42,74,99,4.95,ki,1680372729
82,caravelas,140.20946104738016,1.8758249574327837,301.94,72,60,3.87,pg,1680372524
374,akdepe,-158.31134807694278,2.1016936637048644,299.85,85,65,4.71,us,1680372676
98,mayor pablo lagerenza,54.06797741308191,2.218087469050019,302.03,69,6,0.92,so,1680372529
127,akyab,-135.3438745123409,2.75937284971441,299.31,87,64,6.2,pf,1680372537
163,amderma,99.30369914782938,3.390648748416936,297.65,93,83,1.67,id,1680372555
479,atambua,-82.77333699725855,3.7824372169285,301.49,75,81,7.87,ec,1680372726
